type,name,label,required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
select_multiple toilet_type,toilet.type,What kind of toilet does your household have access to?,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'no_toilet')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,ãÇ äæÚ ÇáãÑÍÇÖ ÇáĞí ÊÓÊØíÚ ÃÓÑÊß ÇáæÕæá Åáíå¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,toilet.type.other,Other: ,yes,,"selected(${toilet_type},'other')",,,, ÃÎÑì,,,,,,
select_multiple waste_management,waste.management,How did your household most often dispose of its trash over the past 30 days?,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and count-selected(.) <= 3  or count-selected(.) = 1",some options can't be selected with other options,ßíİ íÊã ÇáÊÚÇãá ãÚ ÇáŞãÇãÉ İí ãäØŞÊßã ÎáÇá ËáÇËæä íæãÇ ÇáãÇÖíÉ¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,waste.management.other,Other: ,yes,,"selected(${waste_management},'other')",,,, ÃÎÑì,,,,,,
select_one frequency_trash_collection,frequency.trash.collection,"If ""Collected by the municipality..."": 
How frequently is your household's trash collected?",yes,,"selected(${waste_management},'assembled_service')",quick,,,"ÅĞÇ ""ÌãÚÊ ãä ŞÈá ÇáÈáÏíÉ ..."":
ßã ãÑÉ íÊã ÌãÚ ÇáŞãÇãÉ ÇáãäÒáíÉ ÇáÎÇÕÉ Èß¿",,,,,,
text,frequency.trash.collection.other,Other: ,yes,,"selected(${frequency_trash_collection},'other')",,,, ÃÎÑì,,,,,,
end_group,,,,,,,,,,,,,,,
begin_group,health,Health,yes,,,,,,ÇáÕÍÉ,,,,,,
select_one yes_no_dk_dwta,healthcare.needed.15days,Have you or anyone in your household been ill in the past 15 days?,yes,,,quick,,,åá ÊÚÑÖÊ ÃäÊ Ãæ Ãí ÃÍÏ ãä ÃİÑÇÏ ÃÓÑÊß ááãÑÖ ÎáÇá ÎãÓÉ ÚÔÑ íæãğÇ ÇáãÇÖíÉ¿,,,,,,
select_one yes_no_dk_dwta,healthcare.received,"If Yes, did you/they go to a health facility to access the needed health care?",yes,,${healthcare_needed_15days} = 'yes',quick,,,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""äÚã""¡ åá ĞåÈÊ Ãæ Ãí ÃÍÏ ãä ÃİÑÇÏ ÃÓÑÊß Åáì ãÑİŞ ÕÍí ááæÕæá Åáì ÇáÑÚÇíÉ ÇáÕÍíÉ ÇáãØáæÈÉ¿",,,,,,
select_one healthcare_facility_visited,healthcare.facility.visited,"If Yes, what kind of health facility did you/they visit",yes,,${healthcare_needed_15days} = 'yes',quick,,,ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ÈäÚã ¡ ãÇ åæ äæÚ ÇáãÑİŞ ÇáÕÍí ÇáĞí ÒÑÊå Ãæ Ãí ÃÍÏ ãä ÃİÑÇÏ ÃÓÑÊß ŞÇã ÈÒíÇÑÊå,,,,,,
select_multiple healthcare_criteria,healthcare.criteria,What were the criteria of your choice for the healthcare facility (3 reasons maximum)?,yes,,${healthcare_needed_15days} = 'yes',,"count-selected(.)<=3 and not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,ãÇ åí ãÚÇííÑ ÇÎÊíÇÑß ááãÑİŞ ÇáÕÍí (3 ÃÓÈÇÈ ßÍÏ ÃŞÕì)¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,healthcare.criteria.other,"if other, please specify",yes,,"selected(${healthcare_criteria}, 'other')",,,, ÃÎÑì (ÍÏÏ),,,,,,
select_one yes_no_dk_dwta,nohealthaccess,Do you face any challenges accessing health facilities when you need them?,yes,,,quick,,,åá ÊæÇÌå Ãí ÊÍÏíÇÊ İí ÇáæÕæá Åáì ÇáãÑÇİŞ ÇáÕÍíÉ ÚäÏãÇ ÊÍÊÇÌ ÅáíåÇ¿,,,,,,
select_multiple reasons_nohealthaccess,reasons.nohealthaccess,"If Yes, what are the main reasons for you to have limited or no access to healthcare (3 reasons maximum)?",yes,,"selected(${nohealthaccess}, 'yes')",,"count-selected(.)<=3 and not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,ÅĞÇ ßÇäÊ ÇáÇÌÇÈÉ äÚã¡ ãÇ åí ÇáÃÓÈÇÈ ÇáÑÆíÓíÉ ÇáÊí ÊÚíŞ ÍÕæáß Úáì ÇáÑÚÇíÉ ÇáÕÍíÉ ÈÔßá ãÍÏæÏ Ãæ ÔÇãá¿ (3 ÃÓÈÇÈ ßÍÏ ÃŞÕì),ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,reasons.nohealthaccess.other,"If other, specify",yes,,"selected(${reasons_nohealthaccess}, 'other')",,,,ÃÎÑì (ÍÏÏ),,,,,,
select_one time_healthcentre,time.healthcentre,How much time does it take you by car to travel from your place of residence to the nearest health service provider?,yes,,,quick,,,ßã íÓÊÛÑŞ ÇáÊäŞá İí ÓíÇÑÉ ãä ãßÇä ÅŞÇãÊß Åáì ÃŞÑÈ ãÒæÏ ÎÏãÉ ÕÍíÉ¿,,,,,,
integer,nb.currentlypregnant,How many women in the household gave live birth during the 2 last years?,yes,,${calcul_nb_over18_female} >0,,(. >=0 and . <= ${calcul_nb_over18_female}) or .=99,,ßã ÇãÑÃÉ İí ÇáÃÓÑÉ æáÏÊ ÎáÇá ÇáÚÇãíä ÇáãÇÖííä¿,ÇáÚÏÏ ÇáĞí Êã ÇÏÎÇáå ÃßÈÑ ãä ÚÏÏ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,Please put the number 99 if the interviewee did not want to answer,Åä ßÇä ÇáãÓÊÌæÈ áÇ íÑíÏ ÇáÇÌÇÈÉ Úä åĞÇ ÇáÓÄÇá¡ ÖÚ ÇáÑŞã 99. ,
select_one yes_no,pregnant.woman,Pregnant Woman,yes,,,,,,,,,,,,
select_multiple pregnancy_consulted,pregnancy.consultedby,who assisted them in the delivery?,yes,,${nb_currentlypregnant} >0 and ${nb_currentlypregnant}!=99,,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,ãä ÇáĞí ÓÇÚÏ İí ÇáæáÇÏÉ ,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,pregnancy.consultedby.other,"If other, specify",yes,,"selected(${pregnancy_consultedby}, 'other')",,,, ÃÎÑì (ÍÏÏ),,,,,,
integer,breastfeeding.6months,"Of these women [who gave live birth during the last 2 years], how many fed their children using bottled milk or baby formula until 6 months of age?",yes,,${nb_currentlypregnant} >0,,. <= ${nb_currentlypregnant} or .=99,,ãä Èíä åÄáÇÁ ÇáäÓÇÁ [ÇááÇÆí æåÈä ãæáæÏğÇ ÍíğÇ ÎáÇá ÇáÚÇãíä ÇáãÇÖííä] ¡ ãÇ åæ ÚÏÏ ÇááÇÊí ÃØÚãä ÃØİÇáåä ÈÇÓÊÎÏÇã ÇáÍáíÈ ÇáãÚÈÃ İí ÒÌÇÌÇÊ Ãæ ÍáíÈ ÇáÃØİÇá İí 6 ÃÔåÑ ÇáÃæáì ãä ÇáÚãÑ¿,ÇáÚÏÏ ÃßÈÑ ãä ÚÏÏ ÇáäÓÇÁ ÇááÇÊí æáÏäÇ ÎáÇá ÇáÚÇãíä ÇáãÇÖííä,,,Please put the number 99 if the interviewee did not want to answer,Åä ßÇä ÇáãÓÊÌæÈ áÇ íÑíÏ ÇáÇÌÇÈÉ Úä åĞÇ ÇáÓÄÇá¡ ÖÚ ÇáÑŞã 99. ,
integer,nb.children.vaccinationcard,How many children in the household have a vaccination card?,yes,,${calcul_nb_under18} >0,,.<=${calcul_nb_under18} or .=99,The number specified here can't be higher than the number of persons under 18 in the household,ßã ÚÏÏ ÇáÃØİÇá İí ÃÓÑÊß íãáßæä ÈØÇŞÉ ÊØÚíã¿,áÇ íãßä Ãä íßæä ÇáÚÏÏ ÇáãÍÏÏ åäÇ ÃÚáì ãä ÚÏÏ ÇáÃÔÎÇÕ Ïæä Óä 18 ÚÇãÇ İí ÇáÃÓÑÉ ,,,Please put the number 99 if the interviewee did not want to answer,Åä ßÇä ÇáãÓÊÌæÈ áÇ íÑíÏ ÇáÇÌÇÈÉ Úä åĞÇ ÇáÓÄÇá¡ ÖÚ ÇáÑŞã 99. ,
select_one yes_no_dk_dwta,ind.chronicdisease,Does any members of your household suffer from any chronic disease?,yes,,,quick,,,åá íÚÇäí Ãí ãä ÃİÑÇÏ ÃÓÑÊß ãä Ãí ãÑÖ ãÒãä¿,,,,,,
integer,nb.ind.chronicdisease,How many members of your HH have been diagnosed with a chronic disease?,yes,,${ind_chronicdisease} = 'yes',,,,ßã ÚÏÏ ÃİÑÇÏ ÃÓÑÊß ÇáĞíä Êã ÊÔÎíÕåã ÈãÑÖ ãÒãä¿,,,,"Examples of chronic disease: blood pressure, diabetes, joint pain, heart disease, asthma, cataract, stomach ulcers, chronic back pain, epilepsy ","Ex: ÖÛØ ÇáÏã, 
ÇáÓßÑí
Ãáã ÇáãİÇÕá (ÇáÊåÇÈ ÇáãİÇÕá)
ÃãÑÇÖ ÇáŞáÈ
ÇáÑÈæ
ÇáÓÇÏ (ÚÊãÉ İí ÚÏÓÉ ÇáÚíä)
ŞÑÍÉ ÇáãÚÏÉ
ÂáÇã ÇáÙåÑ ÇáãÒãä (ÇáÍÈá ÇáÔæßí)
ÇáÕÑÚ",
select_multiple type_chronic_disease,type.chronic.disease,"If yes, what do they suffer from? (Select medically-diagnosed disease(s) per person)",yes,,${nb_ind_chronicdisease} > 0,,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options, ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ äÚã ¡ İãÇ ÇáĞí íÚÇäæä ãäå¿ (ÍÏÏ ãÑÖ (ÃãÑÇÖ) ãÔÎÕÉ ØÈíÇ áßá ÔÎÕ),ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,type.chronic.disease.other,"if other, please specify",yes,,"selected(${type_chronic_disease},'other')",,,, ÃÎÑì (ÍÏÏ),,,,,,
select_one chronicdisease_medecine,chronicdisease.medecine,"If Yes, do they have access to medicines?",yes,,${nb_ind_chronicdisease} > 0,quick,,, ÅĞÇ ßÇä ÇáÌæÇÈ ÈäÚã ¡ åá áÏíåã ÅãßÇäíÉ ÇáÍÕæá Úáì ÇáÃÏæíÉ¿,,,,,,
select_one yes_no_dk_dwta,mental.disorder,Have you or anyone in your household been diagnosed with a clinical mental disorder?,yes,,${nb_ind_chronicdisease} > 0,quick,,,åá Êã ÊÔÎíÕ Ãí İÑÏ İí ãäÒáß  ÈÇÖØÑÇÈ ÚŞáí¿,,,,,,
select_one access_healthcare_service,access.healthcare.service,"If Yes, do they have adequate access to mental health care services?",yes,,${mental_disorder} = 'yes',quick,,,ÅĞÇ ßÇä ÇáÌæÇÈ äÚã ¡ åá áÏíåã ÅãßÇäíÉ ÇáæÕæá ÇáßÇİí áÎÏãÇÊ ÇáÑÚÇíÉ ÇáÕÍíÉ ÇáÚŞáíÉ¿,,,,,,
select_multiple service_access_issues,service.access.issues,"If no or limited access, what are the services with access issues?",yes,,"selected(${access_healthcare_service},'no_access') or selected(${access_healthcare_service},'limited_access')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,İí ÍÇáÉ ÚÏã ÇáæÕæá Ãæ ÇáæÕæá ÇáãÍÏæÏ ¡ ãÇ åí ÇáÎÏãÇÊ ÇáÊí ÊæÇÌå ãÔßáÇÊ ÇáæÕæá¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,service.access.issues.other,"if other, please specify",yes,,"selected(${service_access_issues},'other')",,,, ÃÎÑì (ÍÏÏ),,,,,,
select_one yes_no_dk_dwta,physical.disability,Have you or anyone in your household been diagnosed with a physical disability?,yes,,,quick,,,åá Êã ÊÔÎíÕß ÃäÊ Ãæ Ãí ÔÎÕ İí ÚÇÆáÊß ÈÅÚÇŞÉ ÌÓÏíÉ¿,,,,,,
select_one access_healthcare_service,physical.disability.healthcare.service,"If Yes, did he/they have access to the needed health care",yes,,${physical_disability} = 'yes',quick,,, ÅĞÇ ßÇä ÇáÌæÇÈ ÈäÚã ¡ İåá ÈÇãßÇäß/ ÇãßÇäßã ÇáÍÕæá Úáì ÇáÑÚÇíÉ ÇáÕÍíÉ ÇáãØáæÈÉ¿,,,,,,
select_multiple service_access_issues,physical.disability.service.issues,"If No access or Limited access, what are the services with access issues?",yes,,"selected(${physical_disability_healthcare_service},'no_access') or selected(${physical_disability_healthcare_service},'limited_access')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,İí ÍÇáÉ ÚÏã ÇáæÕæá Ãæ ÇáæÕæá ÇáãÍÏæÏ ¡ ãÇ åí ÇáÎÏãÇÊ ÇáÊí ÊæÇÌå ãÔßáÇÊ ÇáæÕæá¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,physical.disability.service.issues.other,"if other, please specify",yes,,"selected(${physical_disability_service_issues},'other')",,,, ÃÎÑì (ÍÏÏ),,,,,,
end_group,,,,,,,,,,,,,,,
begin_group,cash.markets,Cash and Markets,yes,,,,,,ÇáäŞÏ æ ÇáÃÓæÇŞ ,,,,,,
begin_group,type.jobs.adults,How many adults (aged 18 and over) in your household have worked in the past 30 days in the following types of jobs?  (choose primary job),yes,,${calcul_nb_over18} >0,field-list,,,ßã ÚÏÏ ÇáÈÇáÛíä (ÇáËÇãäÉ ÚÔÑ ÓäÉ İÃßËÑ) İí ÈíÊß¡  ÚãáæÇ ÎáÇá ËáÇËæä íæãÇ ÇáãÇÖíÉ İí  ÃäæÇÚ ÇáæÙÇÆİ ÇáãæÇáíÉ¿ (ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ),,,,,,
integer,permanent.job.adult,Permanent job with annual/monthly/weekly wage adult,yes,,,,. >=0 and .<= ${calcul_nb_over18},,æÙíİÉ ÏÇÆãÉ ãÚ ÃÌÑ ÔåÑí / Óäæí / ÃÓÈæÚí:,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,
integer,temporary.job.adult,Temporary job with weekly/daily/monthly wage adult,yes,,,,. >=0 and .<= ${calcul_nb_over18},,Úãá ãÄŞÊ  ãÚ ÃÌÑ ÔåÑí / Óäæí / ÃÓÈæÚí:,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,
integer,daily.labour.adult,Daily labour adult,yes,,,,. >=0 and .<= ${calcul_nb_over18},,ÇÔÛÇá íæãíÉ,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,
integer,gvt.payroll.adult,Permanent job (government payroll) without regular attendance adult,yes,,,,. >=0 and .<= ${calcul_nb_over18},,æÙíİÉ ÏÇÆãÉ (ÑÇÊÈ Íßæãí) ÈÏæä ÍÖæÑ ãäÊÙã,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,
end_group,,,,,,,,,,,,,,,
calculate,calcul.jobs.adults.nb,,,,,,,,,,,${permanent_job_adult}+${temporary_job_adult}+${daily_labour_adult}+${gvt_payroll_adult},,,
note,error.jobs.adults.nb,the numbers of adults that have worked in the past 30 days is greater than the number of adults in this HH,yes,,${calcul_nb_over18} < ${calcul_jobs_adults_nb},,,,ÚÏÏ ÇáÈÇáÛíä ÇáĞíä ÚãáæÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ÃßÈÑ ãä ÚÏÏ ÇáÈÇáÛíä İí åĞå ÇáÃÓÑÉ,,,,,,
begin_group,type.jobs.minor,How many children (aged 17 and under) in your household have worked in the past month in the following types of jobs? (choose primary job),yes,,${calcul_nb_under18} >0,field-list,,,ßã ÚÏÏ ÇáÃØİÇá ( ÓÈÚÉ ÚÔÑ ÓäÉ æ ÊÍÊ) İí ÃÓÑÊß¡ ÚãáæÇ ÎáÇá  ËáÇËæä íæãÇ ÇáãÇÖíÉ İí  ÃäæÇÚ ÇáæÙÇÆİ ÇáÊÇáíÉ¿ (ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ),,,,,,
integer,permanent.job.minor,Permanent job with annual/monthly/weekly wage minor,yes,,,,. >=0 and .<= ${calcul_nb_under18},,æÙíİÉ ÏÇÆãÉ ãÚ ÃÌÑ ÔåÑí / Óäæí / ÃÓÈæÚí:,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáŞÇÕÑíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,
integer,temporary.job.minor,Temporary job with weekly/daily/monthly wage minor,yes,,,,. >=0 and .<= ${calcul_nb_under18},,Úãá ãÄŞÊ  ãÚ ÃÌÑ ÔåÑí / Óäæí / ÃÓÈæÚí:,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáŞÇÕÑíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,
integer,daily.labour.minor,Daily labour minor,yes,,,,. >=0 and .<= ${calcul_nb_under18},,ÇÔÛÇá íæãíÉ,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáŞÇÕÑíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,
end_group,,,,,,,,,,,,,,,
calculate,calcul.jobs.minors.nb,,,,,,,,,,,${permanent_job_minor}+${temporary_job_minor}+${daily_labour_minor},,,
note,error.jobs.minor.nb,the numbers of minors that have worked in the past 30 days is greater than the number of minors in this HH,yes,,${calcul_nb_under18} < ${calcul_jobs_minors_nb},,,,ÚÏÏ ÇáŞÇÕÑíä ÇáĞíä ÚãáæÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ÃßÈÑ ãä ÚÏÏ ÇáŞÇÕÑíä İí åĞå ÇáÃÓÑÉ,,,,,,
begin_group,employment.profile.male,"In total, how many male adults (aged 18 and over) in your household worked for the following types of institutions in the past 30 days?",yes,,${calcul_jobs_adults_nb}>0,field-list,,,İí ÇáãÌãæÚ ¡ ãÇ åæ ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä (ÇáĞíä ÊÈáÛ ÃÚãÇÑåã ÇáËÇãäÉ ÚÔÑ ÓäÉ æãÇ İæŞ) İí ÃÓÑÊß ÇáĞíä íÚãáæä İí ÇáÃäæÇÚ ÇáÊÇáíÉ ãä ÇáãÄÓÓÇÊ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿,,,,they should only answer for the job which they are most dependent  on for living,íÌÈ Ãä íÌíÈæÇ İŞØ Úä ÇáæÙíİÉ ÇáÊí íÚÊãÏæä ÚáíåÇ ÈÔßá ßÈíÑ ááÚíÔ,
integer,gov.job.male,1. Government or public sector,yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÇáÍßæãÉ Ãæ ÇáŞØÇÚ ÇáÚÇã,,,,,,
integer,private.libya.job.male,2. Libyan-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÔÑßÇÊ áíÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),,,,,,
integer,private.foreign.job.male,3. Foreign-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_male},,ÇáÔÑßÇÊ ÇáÇÌäÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),,,,,,
integer,ngo.libya.job.male,"4. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_male},,ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇááíÈí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇááíÈíÉ ¡ ãäÙãÇÊ ÇáãÌÊãÚ ÇáãÏäí ¡ ÅáÎ.),,,,,,
integer,ngo.international.job.male,"5. International non-profit sector (international NGO, UN agency, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇáÚÇáãí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇáÏæáíÉ ¡ ææßÇáÇÊ ÇáÃãã ÇáãÊÍÏÉ ¡ ÅáÎ.),,,,,,
integer,own.business.male,6. Own business or family business,yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÇáÃÚãÇá ÇáÊÌÇÑíÉ ÇáÎÇÕÉ Ãæ ÇáÚÇÆáíÉ,,,,,,
integer,informal.labour.male,7. Informal or irregular labour,yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÇáÚãá ÛíÑ ÇáÑÓãí Ãæ ÛíÑ ÇáäÙÇãí,,,,,,
integer,employment.male.other,8. Other (please specify),yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul.employment.profile.male,,,,,,,,,,,${gov_job_male}+${private_libya_job_male}+${private_foreign_job_male}+${ngo_libya_job_male}+${ngo_international_job_male}+${own_business_male}+${informal_labour_male}+${employment_male_other},,,
note,error.employment.male.profile,the total number exceeds the total number of male adults,yes,,${calcul_employment_profile_male} > ${calcul_nb_over18_male},,,,ÇáÚÏÏ ÇáÅÌãÇáí íÊÌÇæÒ ÇáÚÏÏ ÇáÅÌãÇáí ÇáĞßæÑ ááÈÇáÛíä ,,,,,,
text,employment.profile.male.ot,"If other sector, Please specify",yes,,${employment_male_other} > 0,,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ŞØÇÚ ÇÎÑ ,,,,,,
begin_group,employment.profile.female,"In total, how many female adults (aged 18 and over) in your household worked for the following types of institutions in the past 30 days?",yes,,${calcul_jobs_adults_nb}>0,field-list,,,İí ÇáãÌãæÚ ¡ ãÇ åæ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ (ÇáÈÇáÛÇÊ ãä ÇáÚãÑ ÇáËÇãäÉ ÚÔÑ ÓäÉ İãÇ İæŞ) İí ÃÓÑÊß ÇááÇÊí ÊÚãáä İí ÇáÃäæÇÚ ÇáÊÇáíÉ ãä ÇáãÄÓÓÇÊ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿,,,,they should only answer for the job which they are most dependent  on for living,íÌÈ Ãä íÌíÈæÇ İŞØ Úä ÇáæÙíİÉ ÇáÊí íÚÊãÏæä ÚáíåÇ ÈÔßá ßÈíÑ ááÚíÔ,
integer,gov.job.female,1. Government or public sector,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÇáÍßæãÉ Ãæ ÇáŞØÇÚ ÇáÚÇã,,,,,,
integer,private.libya.job.female,2. Libyan-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÔÑßÇÊ áíÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),,,,,,
integer,private.foreign.job.female,3. Foreign-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},,ÇáÔÑßÇÊ ÇáÇÌäÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),,,,,,
integer,ngo.libya.job.female,"4. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_female},,ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇááíÈí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇááíÈíÉ ¡ ãäÙãÇÊ ÇáãÌÊãÚ ÇáãÏäí ¡ ÅáÎ.),,,,,,
integer,ngo.international.job.female,"5. International non-profit sector (international NGO, UN agency, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇáÚÇáãí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇáÏæáíÉ ¡ ææßÇáÇÊ ÇáÃãã ÇáãÊÍÏÉ ¡ ÅáÎ.),,,,,,
integer,own.business.female,6. Own business or family business,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÇáÃÚãÇá ÇáÊÌÇÑíÉ ÇáÎÇÕÉ Ãæ ÇáÚÇÆáíÉ,,,,,,
integer,informal.labour.female,7. Informal or irregular labour,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÇáÚãá ÛíÑ ÇáÑÓãí Ãæ ÛíÑ ÇáäÙÇãí,,,,,,
integer,employment.female.other,8. Other (please specify),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul.employment.profile.female,,,,,,,,,,,${gov_job_female}+${private_libya_job_female}+${private_foreign_job_female}+${ngo_libya_job_female}+${ngo_international_job_female}+${own_business_female}+${informal_labour_female}+${employment_female_other},,,
note,error.employment.female.profile,the total number exceeds the total number of female adults,yes,,${calcul_employment_profile_female} > ${calcul_nb_over18_female},,,,"ÇáÚÏÏ ÇáÅÌãÇáí íÊÌÇæÒ ÇáÚÏÏ ÇáÅÌãÇáí ÇáÅäÇË ááÈÇáÛíä 
",,,,,,
text,employment.profile.female.ot,"If other sector, Please specify",yes,,${employment_female_other} > 0,,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ŞØÇÚ ÇÎÑ ,,,,,,
